state, neighbours
ak,
al, fl;ga;ms;tn
ar, la;mo;ms;ok;tn;tx
az, ca;nm;nv;ut
ca, az;nv;or
co, ks;ne;nm;ok;ut;wy
ct, ma;ny;ri
dc, md;va
de, md;nj;pa
fl, al;ga
ga, al;fl;nc;sc;tn
hi,
ia, il;mn;mo;ne;sd;wi
id, mt;nv;or;ut;wa;wy
il, ia;in;ky;mo;wi
in, il;ky;mi;oh
ks, co;mo;ne;ok
ky, il;in;mo;oh;tn;va;wv
la, ar;ms;tx
ma, ct;nh;ny;ri;vt
md, dc;de;pa;va;wv
me, nh
mi, in;oh;wi
mn, ia;nd;sd;wi
mo, ar;ia;il;ks;ky;ne;ok;tn
ms, al;ar;la;tn
mt, id;nd;sd;wy
nc, ga;sc;tn;va
nd, mn;mt;sd
ne, co;ia;ks;mo;sd;wy
nh, ma;me;vy
nj, de;ny;pa
nm, az;co;ok;tx
nv, az;ca;id;or;ut
ny, ct;ma;nj;pa;vt
oh, in;ky;mi;pa;wv
ok, ar;coKs;mo;nm;tx
or, ca;id;nv;wa
pa, de;md;nj;ny;oh;wv
ri, ct;ma
sc, ga;nc
sd, ia;mn;mt;nd;ne;wy
tn, al;ar;ga;ky;mo;ms;nc;va
tx, ar;la;nm;ok
ut, az;co;id;nv;wy
va, dc;ky;md;nc;tn;wv
vt, ma;nh;ny
wa, id;or
wi, ia;il;mi;mn
wv, ky;md;oh;pa;va
wy, co;id;mt;ne;sd;ut
